,TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL,ed_bool
4646,279448,YuGiOh,Crossroads of Chaos,Miracle Fertilizer,,CSOC-EN057,Rare,Near Mint 1st Edition,0.43,,1.28,0.29,2,0,0.49,,False
4659,268585,YuGiOh,Crossroads of Chaos,Pollinosis,,CSOC-EN074,Rare,Near Mint Unlimited,0.23,,1.09,0.1,19,0,0.49,,False
4661,268578,YuGiOh,Crossroads of Chaos,Prideful Roar,,CSOC-EN067,Rare,Near Mint Unlimited,0.14,,1.08,0.09,6,0,0.49,,False
4664,268584,YuGiOh,Crossroads of Chaos,Psychic Trigger,,CSOC-EN073,Super Rare,Near Mint Unlimited,0.35,,1.1,0.11,1,0,0.49,,True
4665,279464,YuGiOh,Crossroads of Chaos,Psychic Trigger,,CSOC-EN073,Super Rare,Near Mint 1st Edition,0.7,,1.48,0.49,1,0,0.49,,False
4667,268601,YuGiOh,Crossroads of Chaos,Puppet Master,,CSOC-EN090,Super Rare,Near Mint Unlimited,0.53,,1.21,0.22,32,0,0.49,,False
4679,855417,YuGiOh,Crossroads of Chaos,Seed of Flame (UTR),,CSOC-EN081,Ultimate Rare,Near Mint Unlimited,2.63,,3.13,2.14,1,0,2.99,,False
4682,268546,YuGiOh,Crossroads of Chaos,The White Stone of Legend,,CSOC-EN035,Common,Near Mint Unlimited,0.46,,1.26,0.27,36,0,0.49,,False
4685,268588,YuGiOh,Crossroads of Chaos,Trap of the Imperial Tomb,,CSOC-EN077,Rare,Near Mint Unlimited,0.19,,1.09,0.1,24,0,0.49,,False
4694,268603,YuGiOh,Crossroads of Chaos,Virus Cannon,,CSOC-EN092,Rare,Near Mint Unlimited,0.16,,1.09,0.1,12,0,0.49,,False
4695,267111,YuGiOh,Cyberdark Impact,Accumulated Fortune,,CDIP-EN057,Common,Near Mint Unlimited,0.27,,1.24,0.25,5,0,0.49,,True
4696,277991,YuGiOh,Cyberdark Impact,Accumulated Fortune,,CDIP-EN057,Common,Near Mint 1st Edition,0.38,,1.19,0.2,20,0,0.49,,False
4698,277940,YuGiOh,Cyberdark Impact,Allure Queen LV3,,CDIP-EN006,Common,Near Mint 1st Edition,0.25,,1.13,0.14,2,0,0.49,,False
4699,267061,YuGiOh,Cyberdark Impact,Allure Queen LV5,,CDIP-EN007,Rare,Near Mint Unlimited,0.24,,1.41,0.26,1,0,0.49,,False
4703,277952,YuGiOh,Cyberdark Impact,Barrier Statue of the Abyss,,CDIP-EN018,Common,Near Mint 1st Edition,0.31,,1.22,0.23,9,0,0.49,,False
4706,267077,YuGiOh,Cyberdark Impact,Barrier Statue of the Heavens,,CDIP-EN023,Common,Near Mint Unlimited,0.27,,1.14,0.15,1,0,0.49,,True
4707,277957,YuGiOh,Cyberdark Impact,Barrier Statue of the Heavens,,CDIP-EN023,Common,Near Mint 1st Edition,0.31,,1.12,0.13,1,0,0.49,,False
4708,267074,YuGiOh,Cyberdark Impact,Barrier Statue of the Inferno,,CDIP-EN020,Common,Near Mint Unlimited,0.14,,1.13,0.13,7,0,0.49,,True
4709,277954,YuGiOh,Cyberdark Impact,Barrier Statue of the Inferno,,CDIP-EN020,Common,Near Mint 1st Edition,0.23,,1.13,0.14,32,0,0.49,,False
4713,277953,YuGiOh,Cyberdark Impact,Barrier Statue of the Torrent,,CDIP-EN019,Common,Near Mint 1st Edition,0.53,,1.41,0.42,1,0,0.49,,False
4718,277975,YuGiOh,Cyberdark Impact,Counter Cleaner,,CDIP-EN041,Common,Near Mint 1st Edition,0.17,,1.06,0.07,3,0,0.49,,False
4719,277939,YuGiOh,Cyberdark Impact,Cyber Esper,,CDIP-EN005,Super Rare,Near Mint 1st Edition,0.35,,1.23,0.24,1,0,0.49,,False
4730,277981,YuGiOh,Cyberdark Impact,Degenerate Circuit,,CDIP-EN047,Rare,Near Mint 1st Edition,0.4,,1.17,0.18,3,0,0.49,,False
4734,267105,YuGiOh,Cyberdark Impact,Justi-Break,,CDIP-EN051,Common,Near Mint Unlimited,0.11,,1.08,0.09,2,0,0.49,,True
4735,277985,YuGiOh,Cyberdark Impact,Justi-Break,,CDIP-EN051,Common,Near Mint 1st Edition,0.23,,1.07,0.08,6,0,0.49,,False
4736,856402,YuGiOh,Cyberdark Impact,Lightning Punisher (UTR),,CDIP-EN026,Ultimate Rare,Near Mint 1st Edition,10.03,,9.7,9.7,1,0,9.99,,False
4737,267093,YuGiOh,Cyberdark Impact,Ritual Foregone,,CDIP-EN039,Common,Near Mint Unlimited,,,1.04,0.05,1,0,0.49,,True
4738,277973,YuGiOh,Cyberdark Impact,Ritual Foregone,,CDIP-EN039,Common,Near Mint 1st Edition,0.12,,1.04,0.05,14,0,0.49,,False
4741,267069,YuGiOh,Cyberdark Impact,Snipe Hunter,,CDIP-EN015,Common,Near Mint Unlimited,0.43,,1.4,0.41,2,0,0.49,,True
4742,277949,YuGiOh,Cyberdark Impact,Snipe Hunter,,CDIP-EN015,Common,Near Mint 1st Edition,0.41,,1.21,0.22,14,0,0.49,,False
4743,267104,YuGiOh,Cyberdark Impact,Straight Flush,,CDIP-EN050,Common,Near Mint Unlimited,,,1.09,0.1,1,0,0.49,,True
4744,277984,YuGiOh,Cyberdark Impact,Straight Flush,,CDIP-EN050,Common,Near Mint 1st Edition,0.14,,1.04,0.05,4,0,0.49,,False
4757,3849279,YuGiOh,Cybernetic Horizon,Crusadia Arboria,,CYHO-EN007,Common,Near Mint Unlimited,0.18,0.18,1.09,0.1,13,0,0.49,,True
4758,3804803,YuGiOh,Cybernetic Horizon,Crusadia Arboria,,CYHO-EN007,Common,Near Mint 1st Edition,0.22,0.17,1.17,0.18,112,0,0.49,,False
4759,3849284,YuGiOh,Cybernetic Horizon,Crusadia Draco,,CYHO-EN009,Common,Near Mint Unlimited,0.2,0.14,1.07,0.08,21,0,0.49,,True
4760,3804813,YuGiOh,Cybernetic Horizon,Crusadia Draco,,CYHO-EN009,Common,Near Mint 1st Edition,0.18,0.13,1.04,0.05,173,0,0.49,,False
4763,3849294,YuGiOh,Cybernetic Horizon,Crusadia Leonis,,CYHO-EN008,Common,Near Mint Unlimited,0.14,0.14,1.04,0.05,31,0,0.49,,True
4764,3804808,YuGiOh,Cybernetic Horizon,Crusadia Leonis,,CYHO-EN008,Common,Near Mint 1st Edition,0.16,0.12,1.09,0.1,156,0,0.49,,False
4766,3805258,YuGiOh,Cybernetic Horizon,Crusadia Magius,,CYHO-EN042,Super Rare,Near Mint 1st Edition,0.26,0.3,1.14,0.15,81,0,0.49,,False
4768,3804818,YuGiOh,Cybernetic Horizon,Crusadia Maximus,,CYHO-EN010,Super Rare,Near Mint 1st Edition,0.45,,1.23,0.24,61,0,0.49,,False
4769,3849314,YuGiOh,Cybernetic Horizon,Crusadia Reclusia,,CYHO-EN006,Common,Near Mint Unlimited,0.18,0.18,1.09,0.1,39,0,0.49,,True
4770,3804788,YuGiOh,Cybernetic Horizon,Crusadia Reclusia,,CYHO-EN006,Common,Near Mint 1st Edition,0.16,0.14,1.09,0.1,115,0,0.49,,False
4772,3805533,YuGiOh,Cybernetic Horizon,Crusadia Revival,,CYHO-EN054,Super Rare,Near Mint 1st Edition,0.18,0.15,1.09,0.1,5,0,0.49,,False
4777,3849354,YuGiOh,Cybernetic Horizon,Cyber Revsystem,,CYHO-EN059,Secret Rare,Near Mint Unlimited,4.15,,4.14,3.15,1,0,5.0,,False
4781,3849364,YuGiOh,Cybernetic Horizon,Cyberse Magician,,CYHO-EN026,Ultra Rare,Near Mint Unlimited,0.47,,1.44,0.45,4,0,0.49,,False
4796,3849439,YuGiOh,Cybernetic Horizon,Dragunity Knight - Luin,,CYHO-EN032,Rare,Near Mint Unlimited,0.25,0.24,1.19,0.2,1,0,0.49,,True
4797,3805168,YuGiOh,Cybernetic Horizon,Dragunity Knight - Luin,,CYHO-EN032,Rare,Near Mint 1st Edition,0.27,,1.13,0.14,10,0,0.49,,False
4800,3849484,YuGiOh,Cybernetic Horizon,Hip Hoshiningen,,CYHO-EN050,Super Rare,Near Mint Unlimited,0.34,0.32,1.19,0.2,35,0,0.49,,True
4801,3805513,YuGiOh,Cybernetic Horizon,Hip Hoshiningen,,CYHO-EN050,Super Rare,Near Mint 1st Edition,0.34,0.3,1.14,0.15,69,0,0.49,,False
4804,3849494,YuGiOh,Cybernetic Horizon,Impcantation Talismandra,,CYHO-EN013,Rare,Near Mint Unlimited,0.57,,1.16,0.17,1,0,1.49,,True
4805,3804833,YuGiOh,Cybernetic Horizon,Impcantation Talismandra,,CYHO-EN013,Rare,Near Mint 1st Edition,0.77,1.97,1.4,0.41,3,0,1.49,,False
4828,3846647,YuGiOh,Cybernetic Horizon,SPYRAL Super Agent,,CYHO-ENSE1,Super Rare,Near Mint Limited,0.2,0.22,1.06,0.07,160,0,0.49,,False
4840,266021,YuGiOh,Cybernetic Revolution,Conscription,,CRV-EN058,Common,Near Mint Unlimited,0.21,,1.09,0.1,5,0,0.49,,True
4841,276901,YuGiOh,Cybernetic Revolution,Conscription,,CRV-EN058,Common,Near Mint 1st Edition,0.14,,1.09,0.1,1,0,0.49,,False
4855,266025,YuGiOh,Cybernetic Revolution,Fusion Recovery,,CRV-EN038,Common,Near Mint Unlimited,0.23,,1.2,0.21,4,0,0.49,,True
4856,276905,YuGiOh,Cybernetic Revolution,Fusion Recovery,,CRV-EN038,Common,Near Mint 1st Edition,0.35,,1.27,0.28,5,0,0.49,,False
4859,266053,YuGiOh,Cybernetic Revolution,Mechanical Hound,,CRV-EN018,Common,Near Mint Unlimited,0.07,,1.04,0.05,4,0,0.49,,True
4860,276933,YuGiOh,Cybernetic Revolution,Mechanical Hound,,CRV-EN018,Common,Near Mint 1st Edition,0.27,,1.07,0.08,1,0,0.49,,False
4868,266031,YuGiOh,Cybernetic Revolution,Shien's Spy,,CRV-EN044,Common,Near Mint Unlimited,0.44,,1.23,0.24,2,0,0.74,,False
4870,266013,YuGiOh,Cybernetic Revolution,Spiritual Earth Art - Kurogane,,CRV-EN050,Common,Near Mint Unlimited,0.21,,1.04,0.05,3,0,0.49,,False
4871,266015,YuGiOh,Cybernetic Revolution,Spiritual Fire Art - Kurenai,,CRV-EN052,Common,Near Mint Unlimited,0.17,,1.09,0.1,4,0,0.49,,True
4872,276895,YuGiOh,Cybernetic Revolution,Spiritual Fire Art - Kurenai,,CRV-EN052,Common,Near Mint 1st Edition,0.2,,1.13,0.14,1,0,0.49,,False
4873,266014,YuGiOh,Cybernetic Revolution,Spiritual Water Art - Aoi,,CRV-EN051,Common,Near Mint Unlimited,0.28,,1.09,0.1,11,0,0.49,,True
4874,276894,YuGiOh,Cybernetic Revolution,Spiritual Water Art - Aoi,,CRV-EN051,Common,Near Mint 1st Edition,0.2,,1.09,0.1,5,0,0.49,,False
4875,266016,YuGiOh,Cybernetic Revolution,Spiritual Wind Art - Miyabi,,CRV-EN053,Common,Near Mint Unlimited,0.08,,1.04,0.05,6,0,0.49,,True
4876,276896,YuGiOh,Cybernetic Revolution,Spiritual Wind Art - Miyabi,,CRV-EN053,Common,Near Mint 1st Edition,0.12,,1.09,0.1,2,0,0.49,,False
4880,266064,YuGiOh,Cybernetic Revolution,Tyranno Infinity,,CRV-EN029,Common,Near Mint Unlimited,0.31,,1.09,0.1,7,0,0.49,,True
4881,276944,YuGiOh,Cybernetic Revolution,Tyranno Infinity,,CRV-EN029,Common,Near Mint 1st Edition,0.34,,1.14,0.15,2,0,0.49,,False
4885,7126967,YuGiOh,Cyberstorm Access,"A Shattered, Colorless Realm",,CYAC-EN074,Common,Near Mint 1st Edition,0.06,0.02,1.01,0.02,46,0,0.49,,False
4886,7127082,YuGiOh,Cyberstorm Access,Adularia of the June Moon,,CYAC-EN095,Super Rare,Near Mint 1st Edition,0.22,,1.09,0.1,5,0,0.49,,False
4887,7126732,YuGiOh,Cyberstorm Access,Albion the Sanctifire Dragon,,CYAC-EN035,Secret Rare,Near Mint 1st Edition,13.13,,13.35,13.35,2,0,15.99,,False
4888,7126611,YuGiOh,Cyberstorm Access,Amazement Abomination Arlekino,,CYAC-EN023,Common,Near Mint 1st Edition,0.08,0.04,1.0,0.01,47,0,0.49,,False
4889,7127092,YuGiOh,Cyberstorm Access,Baromet the Sacred Sheep Shrub,,CYAC-EN097,Super Rare,Near Mint 1st Edition,0.21,0.18,1.12,0.13,3,0,0.49,,False
4890,7126742,YuGiOh,Cyberstorm Access,Beetrooper Cruel Saturnas,,CYAC-EN037,Super Rare,Near Mint 1st Edition,0.16,0.16,1.06,0.07,9,0,0.49,,False
4891,7126947,YuGiOh,Cyberstorm Access,"Brightest, Blazing, Branded King",,CYAC-EN070,Common,Near Mint 1st Edition,0.12,0.08,1.04,0.05,44,0,0.49,,False
4892,7126717,YuGiOh,Cyberstorm Access,Bunny Ear Enthusiast,,CYAC-EN032,Common,Near Mint 1st Edition,0.11,0.06,1.01,0.02,46,0,0.49,,False
4893,7126917,YuGiOh,Cyberstorm Access,Constellar Tellarknights,,CYAC-EN064,Super Rare,Near Mint 1st Edition,0.25,0.23,1.09,0.1,7,0,0.49,,False
4894,7126727,YuGiOh,Cyberstorm Access,Cyberse Desavewurm,,CYAC-EN034,Common,Near Mint 1st Edition,0.14,0.11,1.01,0.02,47,0,0.49,,False
4895,7126722,YuGiOh,Cyberstorm Access,Cyberse Sage,,CYAC-EN033,Common,Near Mint 1st Edition,0.13,0.05,1.04,0.05,46,0,0.49,,False
4896,7126942,YuGiOh,Cyberstorm Access,Cynet Circuit,,CYAC-EN069,Common,Near Mint 1st Edition,0.14,0.08,1.02,0.03,46,0,0.49,,False
4897,7126842,YuGiOh,Cyberstorm Access,Cynet Rollback,,CYAC-EN051,Super Rare,Near Mint 1st Edition,0.21,0.17,1.04,0.05,9,0,0.49,,False
4898,7126777,YuGiOh,Cyberstorm Access,Despian Luluwalilith,,CYAC-EN042,Secret Rare,Near Mint 1st Edition,24.54,,24.93,24.93,3,0,29.99,,False
4899,7126977,YuGiOh,Cyberstorm Access,Dinomorphia Intact,,CYAC-EN076,Common,Near Mint 1st Edition,0.13,0.05,1.04,0.05,47,0,0.49,,False
4900,7127472,YuGiOh,Cyberstorm Access,Double Hooking,,CYAC-EN079,Common,Near Mint 1st Edition,0.1,0.08,1.0,0.01,45,0,0.49,,False
4901,7126892,YuGiOh,Cyberstorm Access,Dream Tower of Princess Nemleria,,CYAC-EN059,Common,Near Mint 1st Edition,0.13,0.08,1.0,0.01,47,0,0.49,,False
4902,7126531,YuGiOh,Cyberstorm Access,Dreaming Nemleria,,CYAC-EN015,Super Rare,Near Mint 1st Edition,0.26,0.25,1.13,0.14,8,0,0.49,,False
4903,7126747,YuGiOh,Cyberstorm Access,Dual Avatar - Manifested A-Un,,CYAC-EN038,Common,Near Mint 1st Edition,0.09,0.02,1.01,0.02,47,0,0.49,,False
4904,7126952,YuGiOh,Cyberstorm Access,Etude of the Branded,,CYAC-EN071,Common,Near Mint 1st Edition,0.13,0.12,1.04,0.05,46,0,0.49,,False
4905,7126496,YuGiOh,Cyberstorm Access,Fallen of Argyros,,CYAC-EN009,Common,Near Mint 1st Edition,0.09,0.09,1.0,0.01,46,0,0.49,,False
4906,7127178,YuGiOh,Cyberstorm Access,Firewall Defenser,,CYAC-EN001,Ultra Rare,Near Mint 1st Edition,7.39,6.5,7.49,6.5,1,0,12.99,,False
4907,7126426,YuGiOh,Cyberstorm Access,Firewall Phantom,,CYAC-EN002,Common,Near Mint 1st Edition,0.13,0.1,1.03,0.04,46,0,0.49,,False
4908,7126641,YuGiOh,Cyberstorm Access,Full Active Duplex,,CYAC-EN025,Common,Near Mint 1st Edition,0.09,0.04,1.01,0.02,47,0,0.49,,False
4909,7126982,YuGiOh,Cyberstorm Access,Fusion Duplication,,CYAC-EN077,Common,Near Mint 1st Edition,0.16,0.1,1.03,0.04,43,0,0.49,,False
4910,7127067,YuGiOh,Cyberstorm Access,Gold Pride - It's Neck and Neck!,,CYAC-EN092,Common,Near Mint 1st Edition,0.09,0.01,1.0,0.01,45,0,0.49,,False
4911,7127057,YuGiOh,Cyberstorm Access,Gold Pride - Pedal to the Metal!,,CYAC-EN090,Common,Near Mint 1st Edition,0.13,0.01,1.0,0.01,46,0,0.49,,False
4912,7127017,YuGiOh,Cyberstorm Access,Golden Cloud Beast - Malong,,CYAC-EN082,Common,Near Mint 1st Edition,0.18,,1.07,0.08,44,0,0.49,,False
4913,7126832,YuGiOh,Cyberstorm Access,GranSolfachord Coolia,,CYAC-EN049,Super Rare,Near Mint 1st Edition,0.26,0.16,1.02,0.03,9,0,0.49,,False
4914,7126927,YuGiOh,Cyberstorm Access,Gunkan Suship Catch-of-the-Day,,CYAC-EN066,Common,Near Mint 1st Edition,0.14,0.09,1.01,0.02,47,0,0.49,,False
4915,7126666,YuGiOh,Cyberstorm Access,Harvest Angel of Doom,,CYAC-EN026,Super Rare,Near Mint 1st Edition,0.09,,1.04,0.05,9,0,0.49,,False
4916,7127477,YuGiOh,Cyberstorm Access,Hatsugai,,CYAC-EN080,Common,Near Mint 1st Edition,0.08,0.01,1.0,0.01,47,0,0.49,,False
4917,7127032,YuGiOh,Cyberstorm Access,How Did Dai Get Here?,,CYAC-EN085,Common,Near Mint 1st Edition,0.08,0.01,1.0,0.01,45,0,0.49,,False
4918,7126551,YuGiOh,Cyberstorm Access,Hu-Li the Jewel Mikanko,,CYAC-EN019,Common,Near Mint 1st Edition,0.15,0.1,1.0,0.01,45,0,0.49,,False
4919,7127022,YuGiOh,Cyberstorm Access,Imperial Princess Quinquery,,CYAC-EN083,Common,Near Mint 1st Edition,0.11,0.07,1.02,0.03,47,0,0.49,,False
4920,7126867,YuGiOh,Cyberstorm Access,Kashtira Akstra,,CYAC-EN055,Common,Near Mint 1st Edition,0.07,0.01,1.0,0.01,47,0,0.49,,False
4921,7126691,YuGiOh,Cyberstorm Access,Kitsuni Kitsunebi,,CYAC-EN028,Common,Near Mint 1st Edition,0.07,0.06,1.02,0.03,45,0,0.49,,False
4922,7127087,YuGiOh,Cyberstorm Access,"Kittytail, Mystical Beast of the Forest",,CYAC-EN096,Super Rare,Near Mint 1st Edition,0.17,0.05,1.04,0.05,6,0,0.49,,False
4923,7126912,YuGiOh,Cyberstorm Access,Libromancer Origin Story,,CYAC-EN063,Ultra Rare,Near Mint 1st Edition,0.44,,1.14,0.15,1,0,0.99,,False
4924,7126882,YuGiOh,Cyberstorm Access,Mannadium Abscission,,CYAC-EN057,Super Rare,Near Mint 1st Edition,0.33,,1.09,0.1,8,0,0.49,,False
4925,7126957,YuGiOh,Cyberstorm Access,Mannadium Breakheart,,CYAC-EN072,Common,Near Mint 1st Edition,0.13,0.08,1.04,0.05,45,0,0.49,,False
4926,7126521,YuGiOh,Cyberstorm Access,Mannadium Fearless,,CYAC-EN013,Super Rare,Near Mint 1st Edition,0.34,0.15,1.14,0.15,6,0,0.49,,False
4927,7126872,YuGiOh,Cyberstorm Access,Mannadium Imaginings,,CYAC-EN056,Common,Near Mint 1st Edition,0.12,0.02,1.01,0.02,45,0,0.49,,False
4928,7126526,YuGiOh,Cyberstorm Access,Mannadium Meek,,CYAC-EN014,Super Rare,Near Mint 1st Edition,0.34,0.26,1.14,0.15,9,0,0.49,,False
4929,7126962,YuGiOh,Cyberstorm Access,Mannadium Reframing,,CYAC-EN073,Common,Near Mint 1st Edition,0.13,0.07,1.0,0.01,46,0,0.49,,False
4930,7126516,YuGiOh,Cyberstorm Access,Mannadium Riumheart,,CYAC-EN012,Ultra Rare,Near Mint 1st Edition,5.84,,6.83,5.84,1,0,7.99,,False
4931,7126907,YuGiOh,Cyberstorm Access,Mikanko Dance - Mayowashidori,,CYAC-EN062,Common,Near Mint 1st Edition,0.14,0.07,1.02,0.03,47,0,0.49,,False
4932,7127012,YuGiOh,Cyberstorm Access,"Moissa Knight, the Comet General",,CYAC-EN081,Common,Near Mint 1st Edition,0.1,0.08,1.0,0.01,46,0,0.49,,False
4933,7126541,YuGiOh,Cyberstorm Access,Nemleria Dream Defender - Couette,,CYAC-EN017,Common,Near Mint 1st Edition,0.15,0.08,1.0,0.01,47,0,0.49,,False
4934,7126536,YuGiOh,Cyberstorm Access,Nemleria Dream Defender - Oreiller,,CYAC-EN016,Common,Near Mint 1st Edition,0.13,0.07,1.01,0.02,47,0,0.49,,False
4935,7126857,YuGiOh,Cyberstorm Access,New Frontier,,CYAC-EN054,Common,Near Mint 1st Edition,0.1,0.09,1.0,0.01,46,0,0.49,,False
4936,7127027,YuGiOh,Cyberstorm Access,Pendulum Pendant,,CYAC-EN084,Common,Near Mint 1st Edition,0.06,0.02,1.01,0.02,46,0,0.49,,False
4937,7126706,YuGiOh,Cyberstorm Access,PenduLuMoon,,CYAC-EN030,Common,Near Mint 1st Edition,0.12,0.07,1.0,0.01,46,0,0.49,,False
4938,7126937,YuGiOh,Cyberstorm Access,Pig Iron vs. Pen Peg,,CYAC-EN068,Common,Near Mint 1st Edition,0.08,0.01,1.0,0.01,47,0,0.49,,False
4939,7126827,YuGiOh,Cyberstorm Access,Protectcode Talker,,CYAC-EN048,Super Rare,Near Mint 1st Edition,0.21,0.07,1.09,0.1,6,0,0.49,,False
4940,7126902,YuGiOh,Cyberstorm Access,Purrely Sleepy Memory,,CYAC-EN061,Common,Near Mint 1st Edition,0.12,,1.02,0.03,47,0,0.49,,False
4941,7126546,YuGiOh,Cyberstorm Access,Purrelyly,,CYAC-EN018,Common,Near Mint 1st Edition,0.15,0.09,1.03,0.04,47,0,0.49,,False
4942,7127102,YuGiOh,Cyberstorm Access,Rebirth of the Seventh Emperors,,CYAC-EN099,Super Rare,Near Mint 1st Edition,0.1,0.08,1.04,0.05,7,0,0.49,,False
4943,7127097,YuGiOh,Cyberstorm Access,Reincarnation of the Seventh Emperors,,CYAC-EN098,Super Rare,Near Mint 1st Edition,0.11,0.09,1.04,0.05,8,0,0.49,,False
4944,7126972,YuGiOh,Cyberstorm Access,REINFORCE!,,CYAC-EN075,Common,Near Mint 1st Edition,0.1,0.1,1.0,0.01,47,0,0.49,,False
4945,7126837,YuGiOh,Cyberstorm Access,S-Force Nightchaser,,CYAC-EN050,Super Rare,Near Mint 1st Edition,0.18,,1.06,0.07,7,0,0.49,,False
4946,7126676,YuGiOh,Cyberstorm Access,Sakitama,,CYAC-EN027,Common,Near Mint 1st Edition,0.19,0.14,1.0,0.01,44,0,0.49,,False
4947,7126922,YuGiOh,Cyberstorm Access,Solfachord Symphony,,CYAC-EN065,Common,Near Mint 1st Edition,0.12,0.03,1.02,0.03,47,0,0.49,,False
4948,7126767,YuGiOh,Cyberstorm Access,Superheavy Samurai Commander Shanawo,,CYAC-EN040,Super Rare,Near Mint 1st Edition,0.14,0.05,1.04,0.05,6,0,0.49,,False
4949,7126471,YuGiOh,Cyberstorm Access,Superheavy Samurai Monk Big Benkei,,CYAC-EN007,Common,Near Mint 1st Edition,0.19,0.14,1.07,0.08,46,0,0.49,,False
4950,7126436,YuGiOh,Cyberstorm Access,Superheavy Samurai Motorbike,,CYAC-EN003,Common,Near Mint 1st Edition,0.19,0.14,1.07,0.08,45,0,0.49,,False
4951,7126466,YuGiOh,Cyberstorm Access,Superheavy Samurai Prodigy Wakaushi,,CYAC-EN006,Super Rare,Near Mint 1st Edition,1.27,0.84,1.83,0.84,1,0,1.99,,False
4952,7126446,YuGiOh,Cyberstorm Access,Superheavy Samurai Soulgaia Booster,,CYAC-EN005,Common,Near Mint 1st Edition,0.12,0.1,1.01,0.02,45,0,0.49,,False
4953,7126441,YuGiOh,Cyberstorm Access,Superheavy Samurai Stealthy,,CYAC-EN004,Common,Near Mint 1st Edition,0.13,0.12,1.03,0.04,47,0,0.49,,False
4954,7126897,YuGiOh,Cyberstorm Access,"Sweet Dreams, Nemleria",,CYAC-EN060,Common,Near Mint 1st Edition,0.13,0.07,1.0,0.01,45,0,0.49,,False
4955,7126847,YuGiOh,Cyberstorm Access,Swordsoul Punishment,,CYAC-EN052,Common,Near Mint 1st Edition,0.14,0.1,1.0,0.01,46,0,0.49,,False
4956,7126566,YuGiOh,Cyberstorm Access,Tellarknight Altairan,,CYAC-EN020,Super Rare,Near Mint 1st Edition,0.17,0.16,1.08,0.09,8,0,0.49,,False
4957,7126797,YuGiOh,Cyberstorm Access,Tellarknight Constellar Caduceus,,CYAC-EN045,Ultra Rare,Near Mint 1st Edition,0.65,0.33,1.24,0.25,2,0,1.24,,False
4958,7126581,YuGiOh,Cyberstorm Access,Tellarknight Lyran,,CYAC-EN021,Super Rare,Near Mint 1st Edition,0.2,0.18,1.09,0.1,5,0,0.49,,False
4959,7126476,YuGiOh,Cyberstorm Access,The Bystial Aluber,,CYAC-EN008,Super Rare,Near Mint 1st Edition,0.23,0.11,1.14,0.15,9,0,0.49,,False
4961,7126987,YuGiOh,Cyberstorm Access,Trap Tracks,,CYAC-EN078,Common,Near Mint 1st Edition,0.18,0.15,1.07,0.08,45,0,0.49,,False
4962,7126852,YuGiOh,Cyberstorm Access,Tri-Brigade Roar,,CYAC-EN053,Super Rare,Near Mint 1st Edition,0.34,0.25,1.14,0.15,5,0,0.49,,False
4964,7126807,YuGiOh,Cyberstorm Access,Virtual World Tiger - Fufu,,CYAC-EN046,Common,Near Mint 1st Edition,0.12,0.04,1.03,0.04,46,0,0.49,,False
4967,7127072,YuGiOh,Cyberstorm Access,Wish Dragon,,CYAC-EN093,Super Rare,Near Mint 1st Edition,0.16,0.11,1.04,0.05,8,0,0.49,,False
4973,265167,YuGiOh,Dark Beginning 1,Chain Destruction,,DB1-EN070,Common,Near Mint Unlimited,0.25,,1.24,0.25,1,0,0.49,,False
4980,265280,YuGiOh,Dark Beginning 1,Dimensionhole,,DB1-EN183,Common,Near Mint Unlimited,0.15,,1.19,0.2,1,0,0.49,,False
4984,265253,YuGiOh,Dark Beginning 1,Elegant Egotist,,DB1-EN156,Common,Near Mint Unlimited,0.25,,1.17,0.18,2,0,0.49,,False
4996,265184,YuGiOh,Dark Beginning 1,Magical Hats,,DB1-EN087,Rare,Near Mint Unlimited,0.51,,1.24,0.25,2,0,0.49,,False
5001,265175,YuGiOh,Dark Beginning 1,Mirror Wall,,DB1-EN078,Common,Near Mint Unlimited,0.83,,1.44,0.45,6,0,0.99,,False
5018,265198,YuGiOh,Dark Beginning 1,Skull Servant,,DB1-EN101,Common,Near Mint Unlimited,1.15,,1.93,0.94,2,0,1.49,,False
5028,265139,YuGiOh,Dark Beginning 1,Toon World,,DB1-EN042,Common,Near Mint Unlimited,0.34,,1.22,0.23,5,0,0.49,,False
5031,265893,YuGiOh,Dark Beginning 2,A Legendary Ocean,,DB2-EN187,Common,Near Mint Unlimited,0.51,,1.47,0.48,1,0,0.49,,False
5032,265896,YuGiOh,Dark Beginning 2,After the Struggle,,DB2-EN195,Common,Near Mint Unlimited,0.25,,1.09,0.1,12,0,0.49,,False
5033,416587,YuGiOh,Dark Beginning 2,Aqua Spirit,,DB2-EN006,Common,Near Mint Unlimited,0.94,,1.47,0.48,1,0,1.24,,False
5044,265880,YuGiOh,Dark Beginning 2,Dark-Piercing Light,,DB2-EN087,Common,Near Mint Unlimited,0.41,,1.24,0.25,1,0,0.49,,False
5045,265903,YuGiOh,Dark Beginning 2,De-Fusion,,DB2-EN029,Common,Near Mint Unlimited,0.8,,1.33,0.34,2,0,0.99,,False
5054,265799,YuGiOh,Dark Beginning 2,Heart of Clear Water,,DB2-EN186,Common,Near Mint Unlimited,0.6,,1.47,0.48,1,0,0.49,,False
